Nombre,PadreID,PadreText,Rama,Carácter,Nivel,Orden,Suborden,Ministerio,Tipo de Documento,Número de Documento,Sigla,Teléfono 1,Teléfono 2,Teléfono 3,Fax,Sitio Web,Dirección,Departamento,Municipio,Representante Legal,Latitud,Longitud,Descripcion,imagen,
Alcaldía Municipal de Chigorodo en Antioquia,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,5172,,5755650350,,,5748253630,http://www.chigorodo-antioquia.gov.co,Calle Santander Carrera 100 # 104 A-08,ANTIOQUIA,CHIGORODO,Edgar Payares Berrio,7.67237,-76.684501,"La administracion municipal busca Cumplir con los fines del Estado Colombiano, enmarcados en nuestras competencias como ente territorial, con eficiencia, efectividad y eficacia de los procesos, procedimientos y servicios públicos a nuestro cargo   %3B    de forma que todo esfuerzo se dirija a la erradicación del hambre, la pobreza, la desigualdad, el analfabetismo, la violencia en todas sus manifestaciones y género, y la corrupción.",http://chigorodo-antioquia.gov.co/apc-aa-files/37313830333866373735646632623736/300px_3.png,
Alcaldía Municipal de Chimá en Córdoba,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,23168,,5787879060,,,,http://www.chima-cordoba.gov.co,Calle 4 Carrera 8,CÓRDOBA,CHIMÁ,,9.149185,-75.626758,"La administración municipal busca crear las condiciones de seguridad y confianza de las personas y comunidades para aclimatar la inversión económica y social en procura de mejorar la calidad de vida y bienestar de la población municipal, con acciones de eficiencia, gestión, coordinación y desarrollo empresarial.",http://chima-cordoba.gov.co/apc-aa-files/37346534363262366666636434306666/escudo_1_thumb_1_1.jpg,
Alcaldía Municipal de Chima en Santander,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,68176,,5768670213,,,5777197269,http://www.chima-santander.gov.co,Carrera 5 # 5 - 08,SANTANDER,CHIMA,,9.403281,-75.679337,"El municipio de chima como ente territorial dedicara especial atención al desarrollo del ser humano siendo eje fundamental de la sociedad, administrando los recursos públicos con justicia y equidad, generando las condiciones necesarias para la oportuna prestación de los servicios públicos y sociales, favoreciendo el ejercicio de los derechos y deberes constitucionales y la convivencia pacífica de sus habitantes",http://chima-santander.gov.co/apc-aa-files/34633764633436643935393735653163/logo3.gif,
Alcaldía Municipal de Chimichagua en Cesar,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,20175,,5758302676,,,5755280292,http://www.chimichagua-cesar.gov.co,Palacio Municipal,CESAR,CHIMICHAGUA,,6.343319,-73.373359,"Chimichagua, como entidad económica y social debe promover y gestionar el desarrollo integral de sus habitantes, mediante la adopción y ejecución de planes y programas generales que propicien el desarrollo económico y socio?cultural sostenible basado en las potencialidades internas existentes y orientar, acompañar y apoyar a las comunidades y gremios organizados en la búsqueda de nuevos e innovadores proyectos productivos sostenibles.",http://chimichagua-cesar.gov.co/apc-aa-files/65623236356132656265656535636137/escudo-chimichagua.jpg,
Alcaldía Municipal de Chinácota en Norte de Santander,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,54172,,5748678080,,,5775865610,http://www.chinacota-nortedesantander.gov.co,Carrera 4 # 4-15,NORTE DE SANTANDER,CHINÁCOTA,,9.252496,-73.811424,"La alcaldia municipal busca Cumplir a cabalidad con las responsabilidades que implica para el municipio ser la entidadfundamental de la división político-administrativa del Estado, contempladas constitucionalmente, en el marco de una política pública orientada con criterios de eficiencia, transparencia, inclusión, capacidad para la gestión y enfoque diferencial, teniendo en cuenta el desarrollo municipal y regional, articulando adecuadamente con las políticas del orden Departamental y Nacional.",http://chinacota-nortedesantander.gov.co/apc-aa-files/39646363336534373331653265313337/escudo_de_chin_cota.jpg,
Alcaldía Municipal de Chinavita en Boyacá,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,15172,,5788379333,,,5787524006,http://www.chinavita-boyaca.gov.co,Calle 4 # 3 - 28,BOYACÁ,CHINAVITA,,7.608034,-72.600685,"la alcaldia municipal busca Crear un proceso de desarrollo integral en el Municipio de Chinavita, teniendo en cuenta los recursos disponibles, basados en la coordinación de la comunidad, el poder de gobierno municipal y de las demás organizaciones existentes en el municipio, para de esta forma tratar de mejorar las condiciones de vida de la población.",http://chinavita-boyaca.gov.co/apc-aa-files/38646231343061653761636266343330/escudo_chinavita_1.jpg,
Alcaldía Municipal de Chinchiná en Caldas,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,17174,,5.73207E+11,,,5768506809,http://www.chinchina-caldas.gov.co,Carrera 8 Calle 11 Esquina,CALDAS,CHINCHINÁ,,5.166767,-73.368471,"Somos una entidad territorial encaminada a la gestión social, eficiente y eficaz, definiendo instrumentos que permiten el control y seguimiento de planes, programas y proyectos, teniendo claras nuestras líneas de acción y objetivos estratégicos institucionales bajo principios de mejoramiento continuo en condiciones de capacidad productiva, expansión urbana y/o generación de industria encaminada a una economía verde.",http://chinchina-caldas.gov.co/apc-aa-files/65393163643538633135393339653936/escudo_7.jpg,
Alcaldía Municipal de Chinú en Córdoba,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,23182,,5748572002,,,,http://www.chinu-cordoba.gov.co,Calle 15 # 8 - 11,CÓRDOBA,CHINÚ,,4.983539,-75.605624,"Con la prestación de servicios públicos encaminados a ge?nerar la confianza de la ciudadanía esperamos obtener unos resultados de impacto social, que redunden en el bienestar integral de los habitantes del Municipio de Chinú, articulando la efectiva gestión administrativa orientada al Desarrollo Sostenible, con la participación activa de nuestros ciudadanos, bajo los principios de Dignidad, Gestión y transparencia con equidad",http://www.chinu-cordoba.gov.co/Style%20Library/img/municipio.png,
Alcaldía Municipal de Chipaque en Cundinamarca,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,25178,,5718345110,,,5718484266,http://www.chipaque-cundinamarca.gov.co,Calle 5 # 4 - 16,CUNDINAMARCA,CHIPAQUE,Camilo Albeiro Pardo,9.104322,-75.399772,"La Administración Municipal trabajará según sus responsabilidades constitucionales en mejorar la calidad de vida de su población, promoviendo el bienestar y prosperidad de los habitantes, aumentando la cobertura y la calidad de los servicios sociales, públicos y de infraestructura, potencializando los recursos humanos y naturales del territorio, todo esto, con la participación integral de la comunidad, logrando el afianzamiento de la Justicia Social de los habitantes de Chipaque.",http://chipaque-cundinamarca.gov.co/apc-aa-files/36323230303264646635356563623364/ESCUDO_CHIP._INICIO.png,
Alcaldía Municipal de Chipatá en Santander,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,68179,,5748301919,,,5777565788,http://www.chipata-santander.gov.co,Carrera 6 # 3 - 17,SANTANDER,CHIPATÁ,Argemiro Ángulo Díaz,4.442688,-74.044825,"La administracion municipal busca el desarrollo integral de sus habitantes, garantizando la efectividad de los principios, derechos y deberes ciudadanos, con una gestión pública transparente y participativa, afianzando la justicia social y proyectando un Municipio competitivo, con potencial ecoturístico y agroindustrial sostenible.",http://chipata-santander.gov.co/apc-aa-files/63303932326332653531356333303934/ESCUDO_CHIPATA_5.jpg,
Alcaldía Municipal de Chiquinquirá en Boyacá,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,15176,,5747600049,5747600017,,5787264906,http://www.chiquinquira-boyaca.gov.co,Carrera 8 Calle 17,BOYACÁ,CHIQUINQUIRÁ,,6.062234,-73.637696,"El Municipio de Chiquinquirá, como entidad territorial de la división política y administración del estado, con autonomía política, fiscal y administrativa, dentro de los límites que le señala la Constitución y la ley , tiene como misión y objetivos generales asegurar el desarrollo sociopolítico, económico y ambiental del municipio, el bienestar general y el mejoramiento continuo de la calidad de vida de su población.",http://chiquinquira-boyaca.gov.co/apc-aa-files/66333734656535306131653736383833/escudo_1_2.jpg,
Alcaldía Municipal de Chíquiza en Boyacá,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,15232,,5.73117E+11,,,5787426822,http://www.chiquiza-boyaca.gov.co,Calle 6 # 3 - 08,BOYACÁ,CHÍQUIZA,Carlos Eduardo Borrás,5.613999,-73.817319,"La administracion municipal apunta hacia la implementación de un modelo administrativo de gestión exitoso que permita convertir a CHIQUIZA – SAN PEDRO DE IGUAQUE en un municipio económicamente productivo con base en el desarrollo y potencialización del capital humano, de sus recursos agrícolas y de la proyección de una nueva imagen, basado en el turismo organizado, aprovechando sus ventajas comparativas y competitivas, con respecto a los municipios circunvecinos, como lo es el reconocimiento del Santuario (mitos, costumbres y leyendas) cualidad esta con la que cuentan pocos municipios de Departamento.",http://chiquiza-boyaca.gov.co/apc-aa-files/31626636636330393231313634313438/escudo-chiquiza_1.jpg,
Alcaldía Municipal de Chiriguaná en Cesar,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,20178,,5748687039,5748687071,,5755761052,http://www.chiriguana-cesar.gov.co,Calle 7 # 5 - 40,CESAR,CHIRIGUANÁ,,6.187445,-72.471102,"La alcaldía de Chiriguaná planifica, coordina, ejecuta y promociona el desarrollo municipal mediante la elaboración, ejecución y adopción de planes, programas y proyectos que propicien el bienestar de la población y el mejoramiento económico, social y cultural de sus habitantes, generando espacios de participación comunitaria, que brinden solución a las problemáticas de la comunidad en concurrencia, complementariedad y coordinación con las demás entidades territoriales y la nación.",http://chiriguana-cesar.gov.co/apc-aa-files/63613231353861626430646437373362/logo-chiriguana-nuevo.jpg,
Alcaldía Municipal de Chiscas en Boyacá,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,15180,,5728460072,,,5787888301,http://www.chiscas-boyaca.gov.co,Calle 4 # 4 - 41,BOYACÁ,CHISCAS,,9.363803,-73.603192,"Chiscas será un municipio líder a nivel regional por fomentar en conjunto con sus comunidades la cultura Rural Integral y Sostenible, acorde con las estrategias de los Objetivos de Desarrollo del Milenio, con prioridad en la adaptación al cambio climático, innovando, mitigando la pobreza y aportando a la paz, que redunde en el bienestar de una sociedad moderna, democrática y participativa.",http://chiscas-boyaca.gov.co/apc-aa-files/33646530613464646531306436386332/escudochiscas.jpg,
Alcaldía Municipal de Chita en Boyacá,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,15183,,5748674030,,,5787892175,http://www.chita-boyaca.gov.co,Alcaldía Municipal,BOYACÁ,CHITA,Dora Belkis Gomez,6.551805,-72.499783,"CHITA avanzará sustancialmente, para que sea un municipio modelo en el Departamento, en cuanto a la superación de la pobreza y la desigualdad   %3B    generará espacios de oportunidad a la comunidad con un alto nivel de cultura ciudadana, administración de los recursos públicos con honestidad y transparencia, fortaleciendo la inversión social.",http://chita-boyaca.gov.co/apc-aa-files/32656437393065313736383864343366/escudo_de_chita_1_1.jpg,
Alcaldía Municipal de Chitagá en Norte de Santander,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,54174,,5718505531,,,5775678002,http://www.chitaga-nortedesantander.gov.co,Calle 4 # 6-07,NORTE DE SANTANDER,CHITAGÁ,,6.186791,-72.473036,"Chitagá será un municipio líder de la región en promoción del desarrollo integral y endógeno de sus comunidades, caracterizado por la protección continua de los derechos de sus ciudadanos, de la familia como célula de la sociedad, orientado por principios de construcción de paz.",http://chitaga-nortedesantander.gov.co/apc-aa-files/61373833343462303361396636313833/escucudo.png,
Alcaldía Municipal de Chitaraque en Boyacá,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,15185,,5.78313E+12,,,5787290631,http://www.chitaraque-boyaca.gov.co,Calle 2 # 3-35,BOYACÁ,CHITARAQUE,,7.139339,-72.664181,"CHITARAQUE UNIDO...UN PUEBLO, UNA HISTORIA, UN PROYECTO PARA SEGUIR CONSTRUYENDO, se fundamenta en los valores y principios éticos, morales, cívicos, cristianos y patrióticos, con los cuales seremos los facilitadores y colaboradores para alcanzar las mejores condiciones económicas, sociales, políticas e institucionales.",http://chitaraque-boyaca.gov.co/apc-aa-files/61333439646363343431343637333565/escudo_chitaraque.jpg,
Alcaldía Municipal de Chivatá en Boyacá,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,15187,,5748622714,5748622905,5748622613,5787425859,http://www.chivata-boyaca.gov.co,Calle 4 # 3 - 36,BOYACÁ,CHIVATÁ,Ana Isabel Bernal,6.027624,-73.446887,"La administración municipal de Chivatá, propende por ejercer la dirección del gobierno local con autonomía, austeridad, priorización y el firme compromiso institucional de brindar las herramientas técnicas, legales, conceptuales y financieras para el desarrollo del ente territorial",http://chivata-boyaca.gov.co/apc-aa-files/32633731303930326438633436353664/escudo-compri.jpg,
Alcaldía Municipal de Chivor en Boyacá,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,15236,,5787880271,,,5787533134,http://www.chivor-boyaca.gov.co,Carrera 4 # 5 - 26,BOYACÁ,CHIVOR,Ana Yolanda Hernández,5.512401,-73.242977,"Chivor será un Municipio productivo, competitivo y sostenible, en la región y para la región, restableciendo el fortalecimiento educativo, turístico, agrícola, minero, cultural y ambiental, mediante un gobierno de unidad, confianza, igualdad, equidad social, transparencia y participación en su gestión.",http://chivor-boyaca.gov.co/apc-aa-files/31376435653438326534663833353639/escudov_chivor_2010__2.gif,
Alcaldía Municipal de Choachí en Cundinamarca,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,25181,,5722523520,,,5718486806,http://www.choachi-cundinamarca.gov.co,Calle 3 # 3 - 41,CUNDINAMARCA,CHOACHÍ,Carlos Alfonso Cotrino,10.02605,-74.62781,"Choachí paraíso ambiental agro turístico y de población pujante, destino atractivo para vivir, visitar y producir, abre desde el corredor del oriente sus puertas al progreso.",,
Alcaldía Municipal de Chocontá en Cundinamarca,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,25183,,5768534979,,,5718561352,http://www.choconta-cundinamarca.gov.co,Carrera 5 # 5 - 19,CUNDINAMARCA,CHOCONTÁ,,4.888109,-73.366926,"La administracion municipal busca Estimular el desarrollo humano y cívico de sus habitantes, así como atender las necesidades básicas y los problemas de la comunidad, prestando los servicios a través del recurso humano idóneo y con un compromiso por la calidad y calidez del servicio al usuario.",http://choconta-cundinamarca.gov.co/apc-aa-files/63643337353337393265333838643164/ESCUDO_1.bmp,
Alcaldía Municipal de Cicuco en Bolívar,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,13188,,5768681313,,,,http://www.cicuco-bolivar.gov.co,Carrera 12 # 14 - 19,BOLÍVAR,CICUCO,Eleoth de Jesús Luna,4.528634,-73.923181,"Un municipio organizado, con participación democrática, incluyente, pluralista e intercultural, con condiciones y oportunidades de desarrollo integral regional para todos sus habitantes.",http://cicuco-bolivar.gov.co/apc-aa-files/33373163346264653531353433363964/dibujoescudocicuco.jpg,
Alcaldía Municipal de Ciénaga de Oro en Córdoba,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,23189,,5782256032,,,,http://www.cienagadeoro-cordoba.gov.co,Carrera 17 # 5 - 13,CÓRDOBA,CIÉNAGA DE ORO,Eduardo Elías Zarur,5.145109,-73.685652,"La alcaldia municipal busca Administrar el patrimonio, los recursos económicos y financieros, bienes y servicios en una forma ética y eficiente, comprometidos con el desarrollo sostenible, la participación ciudadana, la generación de empleo, la inversión social y el apoyo al auto-empresarismo en el municipio de Ciénaga de Oro",http://cienagadeoro-cordoba.gov.co/apc-aa-files/65363235653064333236663833333865/escudo_de_cienaga_de_oro-2.png,
Alcaldía Municipal de Ciénaga en Magdalena,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,47189,,5786728644,,,,http://www.cienaga-magdalena.gov.co,Carrera 11 A # 8a -23,MAGDALENA,CIÉNAGA,,9.24246,-74.755824,"La alcaldia municipal busca Garantizar la oferta de bienes y servicios públicos y sociales para mejorar las condiciones de vida de los cienagueros prioritariamente en salud, educación, e infraestructural lo que es posible gracias a un servicio institucional eficiente, eficaz, económico y colectivo que promueve la participación ciudadana, la convivencia y la transparencia para el desarrollo económico y social del municipio.",http://cienaga-magdalena.gov.co/apc-aa-files/63653663383938396337363035333161/portal.png,
Alcaldía Municipal de Ciénega en Boyacá,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,15189,,5777569704,,,,http://www.cienega-boyaca.gov.co,Calle 3 # 7 - 13,BOYACÁ,CIÉNEGA,,8.874513,-75.620803,"Generar un compromiso que busque asegurar, que la administración del municipio de CIÉNEGA – BOYACA, sea un gobierno incluyente e integral donde se cumplan los derechos y deberes ciudadanos, a través de entornos saludables   %3B    que logre posicionar al productor agropecuario en niveles de calidad y que sea un lugar de residencia de gentes que entienden y promueven el bienestar y la prosperidad de todos, los que en ella habitan. ",http://cienega-boyaca.gov.co/apc-aa-files/39326432323134353562326236666432/nuevo-2-copia.gif,
Alcaldía Municipal de Cimitarra en Santander,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,68190,,5718795356,,,5776260870,http://www.cimitarra-santander.gov.co,Carrera 5 # 6 - 10,SANTANDER,CIMITARRA,,11.015398,-74.252495,"El municipio de cimitarra del departamento de Santander es un ente territorial con un alto compromiso social, donde lo más importante es el ser humano y el mejoramiento de su calidad de vida, nuestra misión es generar las condiciones necesarias para la oportuna prestación de los servicios públicos y sociales a través de la implementación de las herramientas de planificación del desarrollo económico, social, ambiental, la gestión del riesgo, la participación ciudadana y la administración eficaz y transparente de los recursos públicos.",http://cimitarra-santander.gov.co/apc-aa-files/62626466616561643733643665386439/escudo-cimitarra_2.jpg,
Alcaldía Municipal de Circasia en Quindío,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,63190,,5.73206E+11,,,5767585432,http://www.circasia-quindio.gov.co,Carrera 14 # 6 - 37,QUINDÍO,CIRCASIA,,5.409125,-73.296489,"La alcaldia municipal busca Administrar a Circasia utilizando las nuevas tendencias tecnológicas, privilegiando los resultados y la innovación, buscando un desarrollo integral en todos los sectores, en un marco de respeto por la ciudadanía, considerando sus puntos de vista, apegado al programa de gobierno, buscando la mayor productividad y respeto de los recursos públicos, aplicando los principios de eficiencia, eficacia, propios de la administración y ceñido estrictamente y con transparencia a las normas de la gestión publica.",http://circasia-quindio.gov.co/apc-aa-files/34616135386566663131633333646662/logo.png,
Alcaldía Municipal de Cisneros en Antioquia,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,5190,,5782810091,,,5748631430,http://www.cisneros-antioquia.gov.co,Carrera 20 # 20 - 37,ANTIOQUIA,CISNEROS,,6.31615,-73.951132,"El municipio de Cisneros, ubicado estratégicamente en el Nordeste Antioqueño aprovechando su potencial agroindustrial y eco turístico   %3B    con políticas y proyectos claramente identificados, y con una Administración permanentemente comprometida con el desarrollo integral de toda la comunidad, busca el crecimiento económico y social que nos haga competitivos en el ámbito regional y nos permita interactuar con el mundo globalizado.",http://cisneros-antioquia.gov.co/apc-aa-files/32336562303965623938303662386133/escudo-cisneros-fondo-amarillo.jpg,
Alcaldía Municipal de Ciudad Bolívar en Antioquia,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,5101,,5.7831E+13,,,5748411782,http://www.ciudadbolivar-antioquia.gov.co,Calle 49 # 51 - 20,ANTIOQUIA,CIUDAD BOLÍVAR,,4.619826,-75.63468,"Somos un ente territorial con autonomía política, fiscal y administrativa dentro de los límites que señala la constitución y la ley, que busca lograr competitividad mediante la prestación de servicios públicos de calidad, construcción de obras para el progreso de la localidad   %3B    procurando un medio ambiente sano, la promoción de la participación ciudadana y el desarrollo social y cultural de sus habitantes, con un recurso humano idóneo e infraestructura adecuada, para lograr una gestión con eficiencia, economía, equidad e imparcialidad y alcanzar el mejoramiento de calidad de vida de la comunidad ciudbolivarense.",http://www.ciudadbolivar-antioquia.gov.co/img/municipio.png,
Alcaldía Municipal de Clemencia en Bolívar,4, ,Ejecutiva,Alcaldía,Descentralizado,Territorial,Municipal,No aplica,Código DANE,13222,,5718499000,,,,http://www.clemencia-bolivar.gov.co,Palacio Municipal - Plaza Principal,BOLÍVAR,CLEMENCIA,,6.539484,-75.089233,"Clemencia será un municipio desarrollado en todos los sectores sociales, políticos y económicos de manera sostenible y sustentable con el ambiente, aplicando políticas públicas capaces de brindar oportunidades que propicien el bien común de las y los ciudadanos, bajo los enfoques de derecho e inclusión, diferencial y de equidad e igualdad social de género e impulse el cumplimiento de los objetivos de desarrollo del milenio",http://clemencia-bolivar.gov.co/apc-aa-files/495052435f5052454445465f30303833/palacio_municipal_3.jpg,
